"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.env", "Properties", 0, 0, 5, 0, 0, 5
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\Expenses.js", "JavaScript", 116, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretaker.js", "JavaScript", 0, 0, 0, 137, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakerCompliment.js", "JavaScript", 130, 0, 0, 2, 20, 152
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakercomment.js", "JavaScript", 130, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\complain.js", "JavaScript", 130, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\milestone.js", "JavaScript", 135, 0, 0, 2, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenant.js", "JavaScript", 116, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenantNotice.js", "JavaScript", 116, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tour.js", "JavaScript", 125, 0, 0, 2, 21, 148
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\user.js", "JavaScript", 67, 0, 0, 0, 18, 85
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\vacation.js", "JavaScript", 130, 0, 0, 2, 20, 152
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\index.js", "JavaScript", 58, 0, 0, 17, 12, 87
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\middleware\admin.js", "JavaScript", 32, 0, 0, 2, 5, 39
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\middleware\auth.js", "JavaScript", 23, 0, 0, 0, 3, 26
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\Expenses.js", "JavaScript", 16, 0, 0, 0, 5, 21
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\caretakerComment.js", "JavaScript", 24, 0, 0, 3, 9, 36
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\caretakervacationNotice.js", "JavaScript", 25, 0, 0, 3, 8, 36
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\complains.js", "JavaScript", 24, 0, 0, 3, 8, 35
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\milestone.js", "JavaScript", 25, 0, 0, 25, 14, 64
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tenant.js", "JavaScript", 19, 0, 0, 0, 4, 23
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tenatNotice.js", "JavaScript", 16, 0, 0, 0, 5, 21
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tour.js", "JavaScript", 35, 0, 0, 0, 7, 42
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\user.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\vacation.js", "JavaScript", 25, 0, 0, 3, 8, 36
